Post URL,User URL,Comment Text
https://vk.com/wall-150004099_129483,https://vk.com/id772480632,VOOPOO DRAG 2 177 ватт бокс мод к хорошем состоянии полный комплект Куплены 2 новые АКБ работает все
https://vk.com/wall-150004099_129187,https://vk.com/id700962373,Есть полный комплект на 2 устройства
https://vk.com/wall-150004099_129013,https://vk.com/id772480632,Аегис буст 2 в отличном состоянии полный комплект стоит новый испарик ещ один в подарок Интересует о
https://vk.com/wall-150004099_129013,https://vk.com/id772480632,Продам испарик под замену цену предлогайте так же интересует обмен Под в отличном состоянии полный к
https://vk.com/wall-125680627_394499,https://vk.com/id779747102,С ноуто опиратива какая ddr3
https://vk.com/wall-125680627_394246,https://vk.com/id237513615,Продаю точно такой же айфон красного цвета в очень хорошем состоянии носился всегда в чехле на 128 г
https://vk.com/wall-125680627_393661,https://vk.com/id181543930,Авито Видела в новощербиновке и в староминской комплекты бу
https://vk.com/wall-125680627_393309,https://vk.com/id225467376,Тоже продам xr на 128 Коцнута задняя крышка и царапан экран Есть чек днс Полностью исправен и ни раз
https://vk.com/wall-125680627_393236,https://vk.com/id583710343,Тут чел Урала с доками за 30 к пытается продать а тут 70 без Это как продать акцент 1комплектации за
https://vk.com/wall-125680627_393234,https://vk.com/id225467376,15500 без торга Полный комплект чек днс 128 гб
https://vk.com/wall-125680627_392858,https://vk.com/id659415378,продам айфон 6 64гб полный комплект Все работает 6к
https://vk.com/wall-46203684_217255,https://vk.com/id444660991,А х ли телефон забыл в Ростове если фиг пойми сам где Да и на 128гб за 13 взять можно в идеале и пол
https://vk.com/wall-46203684_217179,https://vk.com/id488711418,Продам такой же целый Не вскрывался Полный комплект С целым экраном 19к
https://vk.com/wall-46203684_217178,https://vk.com/id444660991,Батарейка под замену На 256гб за 16000 можно взять в идеале и полный комплект документов и с не убит
https://vk.com/wall-46203684_217040,https://vk.com/id377115333,Если только колонки для компа с сабом за 500 взял бы А двд нахер не нужен не кому
https://vk.com/wall-46203684_216980,https://vk.com/id444660991, Х купить можно а идеале и полный комплект документов
https://vk.com/wall-46203684_216812,https://vk.com/id569914363,Боюсь станка будет много за такой компьютер
https://vk.com/wall-46203684_216812,https://vk.com/id569914363,Боюсь станка будет много за такой компьютер
https://vk.com/wall-46203684_216590,https://vk.com/id782051235,За 5500 ели продал с полным комплектом в идеале 
https://vk.com/wall-46203684_216529,https://vk.com/id325292458,iPhone 11 без вскрытий весь в родне батарея 76 комплект полный память 128 вопросы в лс
https://vk.com/wall-46203684_216433,https://vk.com/id27789976,Есть Xbox one 1TB полный комплект 16к
https://vk.com/wall-46203684_216187,https://vk.com/id531145358,Косяк видеокарта еще была в комплекте без нее 7 к не исправил ранее 
